Brewery,4,8,12,2,1,7,6,3,5,11,10,9
ANHEUSER-BUSCH,84711.58,121777.66,69647.65,86605.2,82718.39,109179.9,92468.25,98521.98,99589.33,70992.27,82934.26,92403.54
MILLERCOORS,81442.02,92874.04,52628,62743.02,72612.34,84828.92,86396.11,77260.51,93336.98,73882.35,64324.32,88021.5
MARK ANTHONY BRANDS,29996,24572.94,9499.35,24801.43,22059.64,23886.75,35631.05,39612.35,42147.28,19960.46,33271.36,31030.51
PABST BREWING,9765.34,17224.35,13345.76,12214.09,14641.35,18157.79,19194.7,12939.65,31595.86,12107.57,15312.95,18875.1
GEORGETOWN BREWING CO.,8672.18,10193.51,7380.14,6503.01,6409.97,8722.62,9571.99,8538.23,8855.93,9315.17,8985.2,9227.2
THE BOSTON BEER COMPANY,3357.87,7718.43,3090.52,2724.61,3056.21,7263.81,5803.01,3761.62,4855.17,2762.91,3802.92,6886.15
NEW BELGIUM,2980.1,4440.04,3416.08,2112.34,3567.93,2884.57,3725.36,3189.83,2715.33,3122.4,3538.82,4239.42
DIAGEO BEER COMPANY USA,2733.89,3981.16,4138.71,3413.72,4204.22,3529.43,3166.45,2931.3,3776.29,687.68,2732.01,3967.1
DESCHUTES BREWERY,3785.88,4077.64,2671.91,2392.97,2784.95,3561.34,1271.15,3029.71,2991.46,1763.42,3915.37,3464.07
HEINEKEN USA INCORPORATED,3097.78,,,,6687.8,6298.72,7593.14,8402.11,,,,
FREMONT BREWING,2536.74,2731.87,3229.78,2144.6,2466.78,2720.6,3077.69,2800.91,2616.72,2435.67,2050.42,2819.8
MPL BRANDS NV INC,332.86,3321.29,460.46,1577.62,,6642.59,3321.29,5540.52,,,3472.26,
MAC & JACKS BREWERY INC.,2036.64,2412.73,1755.14,1841.37,1951.9,2052.96,2776.15,1780.41,2171.85,1902.2,2225.78,2378.33
REUBENS BREWS,2070.59,2617.09,1592.8,1676.63,1705.85,2303.87,2519.17,1933.15,2077.57,1709.33,1740.98,2433.18
