index,brewery_wa,brewery_prod,month,production
0,192 brewing company,192 BREWING COMPANY,January,
388,192 brewing company,192 BREWING COMPANY,February,0.5
776,192 brewing company,192 BREWING COMPANY,March,
1164,192 brewing company,192 BREWING COMPANY,April,
1552,192 brewing company,192 BREWING COMPANY,May,
1940,192 brewing company,192 BREWING COMPANY,June,
2328,192 brewing company,192 BREWING COMPANY,July,
2716,192 brewing company,192 BREWING COMPANY,August,0.33
3104,192 brewing company,192 BREWING COMPANY,September,
3492,192 brewing company,192 BREWING COMPANY,October,
3880,192 brewing company,192 BREWING COMPANY,November,
4268,192 brewing company,192 BREWING COMPANY,December,
4656,192 brewing company,192 BREWING COMPANY,total_annual,0.8300000000000001
1,20 corners brewing company,20 CORNERS BREWING,January,
389,20 corners brewing company,20 CORNERS BREWING,February,104.64
777,20 corners brewing company,20 CORNERS BREWING,March,147.98
1165,20 corners brewing company,20 CORNERS BREWING,April,72.33
1553,20 corners brewing company,20 CORNERS BREWING,May,
1941,20 corners brewing company,20 CORNERS BREWING,June,
2329,20 corners brewing company,20 CORNERS BREWING,July,
2717,20 corners brewing company,20 CORNERS BREWING,August,209.93
3105,20 corners brewing company,20 CORNERS BREWING,September,132.3
3493,20 corners brewing company,20 CORNERS BREWING,October,
3881,20 corners brewing company,20 CORNERS BREWING,November,75.86
4269,20 corners brewing company,20 CORNERS BREWING,December,106.5
4657,20 corners brewing company,20 CORNERS BREWING,total_annual,849.54
2,23rd ave brewery,23RD AVE BREWERY,January,
390,23rd ave brewery,23RD AVE BREWERY,February,
778,23rd ave brewery,23RD AVE BREWERY,March,
1166,23rd ave brewery,23RD AVE BREWERY,April,
1554,23rd ave brewery,23RD AVE BREWERY,May,2.0
1942,23rd ave brewery,23RD AVE BREWERY,June,4.78
2330,23rd ave brewery,23RD AVE BREWERY,July,5.0
2718,23rd ave brewery,23RD AVE BREWERY,August,
3106,23rd ave brewery,23RD AVE BREWERY,September,1.0
3494,23rd ave brewery,23RD AVE BREWERY,October,14.0
3882,23rd ave brewery,23RD AVE BREWERY,November,
4270,23rd ave brewery,23RD AVE BREWERY,December,
4658,23rd ave brewery,23RD AVE BREWERY,total_annual,26.78
3,4 stitch brewing company,4 STITCH BREWING CO.,January,
391,4 stitch brewing company,4 STITCH BREWING CO.,February,2.0
779,4 stitch brewing company,4 STITCH BREWING CO.,March,1.25
1167,4 stitch brewing company,4 STITCH BREWING CO.,April,
1555,4 stitch brewing company,4 STITCH BREWING CO.,May,4.72
1943,4 stitch brewing company,4 STITCH BREWING CO.,June,
2331,4 stitch brewing company,4 STITCH BREWING CO.,July,1.46
2719,4 stitch brewing company,4 STITCH BREWING CO.,August,3.4
3107,4 stitch brewing company,4 STITCH BREWING CO.,September,
3495,4 stitch brewing company,4 STITCH BREWING CO.,October,
3883,4 stitch brewing company,4 STITCH BREWING CO.,November,
4271,4 stitch brewing company,4 STITCH BREWING CO.,December,
4659,4 stitch brewing company,4 STITCH BREWING CO.,total_annual,12.829999999999998
4,45 degree brewhouse,45 DEGREE BREWHOUSE,January,
392,45 degree brewhouse,45 DEGREE BREWHOUSE,February,
780,45 degree brewhouse,45 DEGREE BREWHOUSE,March,
1168,45 degree brewhouse,45 DEGREE BREWHOUSE,April,
1556,45 degree brewhouse,45 DEGREE BREWHOUSE,May,
1944,45 degree brewhouse,45 DEGREE BREWHOUSE,June,
2332,45 degree brewhouse,45 DEGREE BREWHOUSE,July,
2720,45 degree brewhouse,45 DEGREE BREWHOUSE,August,
3108,45 degree brewhouse,45 DEGREE BREWHOUSE,September,7.09
3496,45 degree brewhouse,45 DEGREE BREWHOUSE,October,
3884,45 degree brewhouse,45 DEGREE BREWHOUSE,November,
4272,45 degree brewhouse,45 DEGREE BREWHOUSE,December,31.13
4660,45 degree brewhouse,45 DEGREE BREWHOUSE,total_annual,38.22
5,5 north brewing company,5 NORTH BREWING COMPANY,January,26.14
393,5 north brewing company,5 NORTH BREWING COMPANY,February,28.48
781,5 north brewing company,5 NORTH BREWING COMPANY,March,25.83
1169,5 north brewing company,5 NORTH BREWING COMPANY,April,28.27
1557,5 north brewing company,5 NORTH BREWING COMPANY,May,24.65
1945,5 north brewing company,5 NORTH BREWING COMPANY,June,22.47
2333,5 north brewing company,5 NORTH BREWING COMPANY,July,25.81
2721,5 north brewing company,5 NORTH BREWING COMPANY,August,23.14
3109,5 north brewing company,5 NORTH BREWING COMPANY,September,18.49
3497,5 north brewing company,5 NORTH BREWING COMPANY,October,13.17
3885,5 north brewing company,5 NORTH BREWING COMPANY,November,16.04
4273,5 north brewing company,5 NORTH BREWING COMPANY,December,14.83
4661,5 north brewing company,5 NORTH BREWING COMPANY,total_annual,267.32
6,5 rights brewing company,5 RIGHTS BREWING LLC,January,26.52
394,5 rights brewing company,5 RIGHTS BREWING LLC,February,
782,5 rights brewing company,5 RIGHTS BREWING LLC,March,52.03
1170,5 rights brewing company,5 RIGHTS BREWING LLC,April,34.08
1558,5 rights brewing company,5 RIGHTS BREWING LLC,May,34.77
1946,5 rights brewing company,5 RIGHTS BREWING LLC,June,
2334,5 rights brewing company,5 RIGHTS BREWING LLC,July,81.0
2722,5 rights brewing company,5 RIGHTS BREWING LLC,August,38.5
3110,5 rights brewing company,5 RIGHTS BREWING LLC,September,
3498,5 rights brewing company,5 RIGHTS BREWING LLC,October,32.83
3886,5 rights brewing company,5 RIGHTS BREWING LLC,November,34.33
4274,5 rights brewing company,5 RIGHTS BREWING LLC,December,67.9
4662,5 rights brewing company,5 RIGHTS BREWING LLC,total_annual,401.96
7,54°40' brewing company,54-40 BREWING COMPANY,January,
395,54°40' brewing company,54-40 BREWING COMPANY,February,329.07
783,54°40' brewing company,54-40 BREWING COMPANY,March,132.42
1171,54°40' brewing company,54-40 BREWING COMPANY,April,
1559,54°40' brewing company,54-40 BREWING COMPANY,May,242.45
1947,54°40' brewing company,54-40 BREWING COMPANY,June,171.2
2335,54°40' brewing company,54-40 BREWING COMPANY,July,160.46
2723,54°40' brewing company,54-40 BREWING COMPANY,August,
3111,54°40' brewing company,54-40 BREWING COMPANY,September,
3499,54°40' brewing company,54-40 BREWING COMPANY,October,355.19
3887,54°40' brewing company,54-40 BREWING COMPANY,November,-0.5
4275,54°40' brewing company,54-40 BREWING COMPANY,December,-1.82
4663,54°40' brewing company,54-40 BREWING COMPANY,total_annual,1388.47
8,5th line brewing company,5TH LINE BREWING CO.,January,4.7
396,5th line brewing company,5TH LINE BREWING CO.,February,4.78
784,5th line brewing company,5TH LINE BREWING CO.,March,7.79
1172,5th line brewing company,5TH LINE BREWING CO.,April,6.78
1560,5th line brewing company,5TH LINE BREWING CO.,May,5.78
1948,5th line brewing company,5TH LINE BREWING CO.,June,14.38
2336,5th line brewing company,5TH LINE BREWING CO.,July,10.18
2724,5th line brewing company,5TH LINE BREWING CO.,August,5.96
3112,5th line brewing company,5TH LINE BREWING CO.,September,7.05
3500,5th line brewing company,5TH LINE BREWING CO.,October,9.21
3888,5th line brewing company,5TH LINE BREWING CO.,November,7.12
4276,5th line brewing company,5TH LINE BREWING CO.,December,7.13
4664,5th line brewing company,5TH LINE BREWING CO.,total_annual,90.86
9,7 seas brewing company,7 SEAS BREWING,January,315.96
397,7 seas brewing company,7 SEAS BREWING,February,336.01
785,7 seas brewing company,7 SEAS BREWING,March,305.77000000000004
1173,7 seas brewing company,7 SEAS BREWING,April,481.85
1561,7 seas brewing company,7 SEAS BREWING,May,442.82
1949,7 seas brewing company,7 SEAS BREWING,June,544.22
2337,7 seas brewing company,7 SEAS BREWING,July,609.43
2725,7 seas brewing company,7 SEAS BREWING,August,563.28
3113,7 seas brewing company,7 SEAS BREWING,September,416.25
3501,7 seas brewing company,7 SEAS BREWING,October,417.86
3889,7 seas brewing company,7 SEAS BREWING,November,276.61
4277,7 seas brewing company,7 SEAS BREWING,December,432.0
4665,7 seas brewing company,7 SEAS BREWING,total_annual,5142.0599999999995
10,acorn brewing,ACORN BREWING,January,17.56
398,acorn brewing,ACORN BREWING,February,
786,acorn brewing,ACORN BREWING,March,35.22
1174,acorn brewing,ACORN BREWING,April,19.85
1562,acorn brewing,ACORN BREWING,May,19.85
1950,acorn brewing,ACORN BREWING,June,21.58
2338,acorn brewing,ACORN BREWING,July,
2726,acorn brewing,ACORN BREWING,August,38.14
3114,acorn brewing,ACORN BREWING,September,19.55
3502,acorn brewing,ACORN BREWING,October,19.68
3890,acorn brewing,ACORN BREWING,November,19.72
4278,acorn brewing,ACORN BREWING,December,21.58
4666,acorn brewing,ACORN BREWING,total_annual,232.73
11,airways brewing company,AIRWAYS BREWING COMPANY,January,34.16
399,airways brewing company,AIRWAYS BREWING COMPANY,February,47.15
787,airways brewing company,AIRWAYS BREWING COMPANY,March,54.68
1175,airways brewing company,AIRWAYS BREWING COMPANY,April,59.13
1563,airways brewing company,AIRWAYS BREWING COMPANY,May,52.93
1951,airways brewing company,AIRWAYS BREWING COMPANY,June,55.17
2339,airways brewing company,AIRWAYS BREWING COMPANY,July,63.67
2727,airways brewing company,AIRWAYS BREWING COMPANY,August,65.24
3115,airways brewing company,AIRWAYS BREWING COMPANY,September,74.75
3503,airways brewing company,AIRWAYS BREWING COMPANY,October,63.45
3891,airways brewing company,AIRWAYS BREWING COMPANY,November,60.89
4279,airways brewing company,AIRWAYS BREWING COMPANY,December,48.28
4667,airways brewing company,AIRWAYS BREWING COMPANY,total_annual,679.5000000000001
12,ale spike camano island brewing,ALE SPIKE,January,1.94
