brewery,year,estimate,annual_production
101 Brewery,2019,1,41
122 West Brewing Co.,2019,1,165
192 Brewing,2019,1,209
20 Corners Brewing LLC,2019,1,"1,722"
210 Brewing Co,2019,1,350
238 Brewing Company,2019,1,5
5 North Brewing Co,2019,1,226
5 Rights Brewing Co,2019,1,70
509 Bierwerks,2019,1,260
54-40 Brewing Company,2019,0,"2,185"
7 Seas Brewing Co,2019,0,"5,922"
Acorn Brewing,2019,0,235
Adam's Northwest Bistro / Twin Rivers Brewing,2019,1,35
Airways Brewing Co,2019,1,"1,323"
Ale and Lager Enterprises,2019,0,150
Ale Spike,2019,0,74
Alpine Brewing Co,2019,1,700
American Brewing Company,2019,1,54
Anacortes Brewery/Rockfish Grill,2019,0,641
Ancient Lakes Brewing Company,2019,0,56
Ashtown Brewing Co,2019,1,118
Aslan Brewing Company,2019,0,"7,414"
At Large Brewing,2019,0,375
Atomic Ale Brewpub and Eatery,2019,1,139
Atwood Ales,2019,1,53
Backwoods Brewing Company,2019,1,"4,831"
Bad Bulldogs Brewery,2019,1,22
Bad Jimmy's Brewing Co,2019,0,750
Badass Backyard Brewing,2019,0,97
Badger Mountain Brewing,2019,1,424
Bainbridge Island Brewing,2019,0,"1,119"
Bale Breaker Brewing Company,2019,0,"24,041"
Bardic Brewing,2019,1,5
Barhop Brewing,2019,0,906
Barrel Mountain Brewing,2019,0,"1,136"
Bastion Brewing Company,2019,0,638
Beardslee Public House,2019,1,741
Beerded Brothers Brewing,2019,1,14
Bellevue Brewing Co,2019,1,"1,247"
Bellwether Brewing Co,2019,1,183
Bennidito's Brewpub,2019,0,425
Bent Bine Brew Co. LLC,2019,0,350
Berchman's Brewing Company,2019,1,35
Bickersons Brewhouse,2019,0,60
Big Barn Brewing Co / Bodacious Berries Fruits and Brews,2019,0,600
Big Block Brewing,2019,1,362
Big Time Brewery,2019,1,794
BirdsView Brewing Co,2019,0,488
Black Label Brewing Company,2019,1,240
Black Raven Brewing Co,2019,0,"10,500"
Blackbeard's Brewing Company,2019,0,195
Blewett Brewing Company,2019,0,350
Bluebird Microcreamery and Brewery,2019,1,5
Bombing Range Brewing Company,2019,0,504
Bosk Brew Works,2019,0,516
Bottle Bay Brewing,2019,1,13
Boundary Bay Brewery & Bistro,2019,0,"5,757"
BrewBakers Brewery,2019,1,23
Bron Yr Aur Brewing,2019,1,392
Brothers Cascadia Brewing,2019,0,"1,304"
Burke-Gilman Brewing,2019,0,343
Burwood Brewing Company,2019,0,457
Bushnell Craft Brewing Company,2019,1,35
Camp Colvos Brewing,2019,1,329
Captains Brewing Company,2019,1,8
Cardinal Craft Brewing Academy/ Skagit Valley College,2019,1,25
Cash Brewing Company,2019,1,206
Chainline Brewing Company,2019,0,"1,700"
Chief Spring's Fire and Irons Brew Pub,2019,0,153
Chuckanut Brewery,2019,0,"4,500"
Circle 7 Brew Works,2019,1,1
Cloudburst Brewing,2019,0,"2,230"
Cole Street Brewery,2019,1,94
Columbia Valley Brewing,2019,1,15
Counterbalance Brewing Company,2019,1,665
"Crane's Castle Brewing Co, LLC",2019,0,131
Crossbuck Brewing,2019,1,330
Crucible Brewing Company,2019,0,"1,277"
Decibel Brewing Co,2019,1,92
Deep Draft Brewing Company,2019,1,84
Der Blokken Brewery,2019,1,10
Diamond Knot Brewery B2 Brewery & Taproom,2019,0,"5,588"
Dick's Brewing Co,2019,0,"1,085"
Dirty Couch Brewing,2019,1,136
Discovery Bay Brewing,2019,1,159
Dog Days Brewing,2019,0,100
Doghaus Brewery,2019,0,142
Doomsday Brewing Co.,2019,1,403
Double Bluff Brewing,2019,1,215
Downpour Brewing LLC,2019,1,195
Dreadnought Brewing LLC,2019,1,108
Dru Bru,2019,1,"3,647"
Dubtown Brewing Company,2019,0,100
Dunagan Brewing Co,2019,1,150
Dungeness Brewing Company,2019,1,8
Dwinell Country Ales,2019,0,186
Dystopian State Brewing,2019,1,191
E2W Brewing,2019,0,35
E9 Brewing Co. ,2019,1,"1,336"
Elk Head Brewing Co,2019,1,457
Ellersick Brewing/ Big E Ales,2019,1,400
Elliott Bay Brewery and Pub,2019,0,"2,180"
English Setter Brewing Company,2019,1,78
Enso Brewing Company,2019,1,5
Everybody's Brewing Co,2019,0,"7,156"
Explorer Brewing Company,2019,0,57
Farm Shed Wines & Brews,2019,1,30
Farmstrong Brewing Co,2019,1,"2,835"
Fathom & League Hop Yard Brewery,2019,1,11
Figurehead Brewing Company,2019,0,172
Fired Up Brewing,2019,1,"1,593"
Fish Brewing Co,2019,1,"3,485"
Five Dons Brewing Co,2019,1,68
Floating Bridge Brewing,2019,0,307
Floodland Brewing,2019,1,135
Flycaster Brewing Co.,2019,1,40
Flyers Restaurant and Brewery,2019,1,393
Flying Bike Cooperative Brewery,2019,0,458
Flying Lion Brewing,2019,0,519
Foggy Noggin Brewing,2019,1,80
For the Love of God Brewing,2019,0,41
Fortside Brewing Company,2019,0,"1,350"
Forward Operating Base Brewing Company / FOB Brewing,2019,1,96
Four Eyed Guys Brewing,2019,1,10
Four Generals Brewing,2019,1,253
Four Horsemen Brewery,2019,0,15
