BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
192 brewing company,192 BREWING COMPANY,0.0,0.33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001
20 corners brewing company,20 CORNERS BREWING,72.33,209.93,106.5,104.64,0.0,0.0,0.0,147.98,0.0,75.86,0.0,132.3,849.54
23rd ave brewery,23RD AVE BREWERY,0.0,0.0,0.0,0.0,0.0,5.0,4.78,0.0,2.0,0.0,14.0,1.0,26.78
4 stitch brewing company,4 STITCH BREWING CO.,0.0,3.4,0.0,2.0,0.0,1.46,0.0,1.25,4.72,0.0,0.0,0.0,12.829999999999998
45 degree brewhouse,45 DEGREE BREWHOUSE,0.0,0.0,31.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,38.22
5 north brewing company,5 NORTH BREWING COMPANY,28.27,23.14,14.83,28.48,26.14,25.81,22.47,25.83,24.65,16.04,13.17,18.49,267.32
5 rights brewing company,5 RIGHTS BREWING LLC,34.08,38.5,67.9,0.0,26.52,81.0,0.0,52.03,34.77,34.33,32.83,0.0,401.96
54°40' brewing company,54-40 BREWING COMPANY,0.0,0.0,-1.82,329.07,0.0,160.46,171.2,132.42,242.45,-0.5,355.19,0.0,1388.47
5th line brewing company,5TH LINE BREWING CO.,6.78,5.96,7.13,4.78,4.7,10.18,14.38,7.79,5.78,7.12,9.21,7.05,90.86
7 seas brewing company,7 SEAS BREWING,481.85,563.28,432.0,336.01,315.96,609.43,544.22,305.77000000000004,442.82,276.61,417.86,416.25,5142.0599999999995
acorn brewing,ACORN BREWING,19.85,38.14,21.58,0.0,17.56,0.0,21.58,35.22,19.85,19.72,19.68,19.55,232.73000000000002
airways brewing company,AIRWAYS BREWING COMPANY,59.13,65.24,48.28,47.15,34.16,63.67,55.17,54.68,52.93,60.89,63.45,74.75,679.5000000000001
ale spike camano island brewing,ALE SPIKE,5.25,6.75,3.41,4.1,1.94,6.57,6.56,6.45,6.25,5.96,5.82,5.25,64.31
anacortes brewery,ANACORTES BREWERY,62.8,67.5,19.9,4.6,11.1,66.1,55.5,34.4,39.65,31.0,44.56,70.55,507.65999999999997
ancient lakes brewing company,TWENTY-EIGHT TEN LLC,1.73,1.62,7.93,1.95,4.43,0.0,2.14,0.76,4.26,0.0,0.0,0.9,25.72
another round brewing company,ANOTHER ROUND BREWING CO,12.57,14.81,9.94,0.0,0.0,11.72,13.0,11.63,13.29,12.59,10.93,15.18,125.66000000000003
ashtown brewing company,ASHTOWN BREWING COMPANY,8.32,8.3,8.36,8.64,8.3,16.94,0.0,11.75,7.43,7.31,16.11,0.0,101.46000000000002
aslan brewing company,ASLAN BREWING COMPANY,472.59,624.47,360.64,329.33,362.67,502.5,557.23,483.91,394.46,404.17,366.27,356.63,5214.87
at large brewing,AT LARGE BREWING AND TAPROOM,28.0,25.33,13.02,14.67,13.84,21.16,21.33,15.5,12.83,12.17,11.34,10.0,199.19
atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,14.2,0.0,3.3,22.4,11.5,12.0,30.3,16.0,0.0,36.55,0.0,22.6,168.85
atwood farm brewery,ATWOOD ALES,0.0,9.23,10.67,7.71,0.0,6.48,11.79,5.42,11.71,7.7,0.0,6.61,77.32
audacity brewing,AUDACITY BREWING,8.8,12.23,6.48,5.83,8.33,8.45,4.32,2.59,10.03,4.5,7.13,8.5,87.19
backwoods brewing company,BACKWOODS BREWING COMPANY,210.97,280.54999999999995,229.86,162.26,148.47,229.94,275.74,246.93,201.53,140.69,255.23,281.01,2663.1800000000003
bad jimmy's brewing company,BAD JIMMYS BREWERY,64.46,22.83,9.0,15.1,0.0,25.99,26.99,20.0,22.4,5.0,8.66,16.5,236.92999999999998
badass backyard brewing,BADASS BACKYARD BREWING,3.0,4.5,9.0,3.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,1.0,27.0
badger mountain brewing company,BADGER MOUNTAIN BREWING,22.59,21.66,21.25,0.0,11.0,28.64,28.74,43.1,29.4,14.06,11.61,26.81,258.86
bainbridge brewing company,BAINBRIDGE ISLAND BREWING,92.48,104.54,71.56,58.44,62.22,113.68,83.22,79.15,83.84,68.35,100.46,91.84,1009.7800000000001
bale breaker brewing company,BALE BREAKER BREWING COMPANY,1900.88,2282.84,1416.19,1276.72,1535.06,2302.83,2140.11,1822.97,1802.26,2088.51,1536.51,1709.75,21814.629999999994
bardic brewing and cider,BARDIC BREWING,3.91,0.0,8.12,1.88,3.32,1.79,3.49,0.0,0.0,0.0,0.0,4.93,27.439999999999998
barhop brewing,BARHOP BREWING,51.0,0.0,35.88,42.0,0.0,57.0,117.0,83.0,0.0,52.03,82.83,70.0,590.74
barley pop! brewing,BARLEY POP! BREWING,0.0,0.0,1.5,0.0,0.0,3.0,3.5,0.0,0.0,1.85,0.85,2.43,13.129999999999999
barlow's brewery,BARLOWS BREWERY,0.67,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
barrel mountain brewing,BARREL MOUNTAIN BREWING,153.19,209.85,121.47,111.75,106.29,143.91,183.67,167.61,191.01,152.74,150.98,156.76,1849.23
bastion brewing company,BASTION BREWING COMPANY,0.0,85.4,57.3,0.0,0.0,113.55,0.0,0.0,0.0,0.0,51.4,0.0,307.65
