brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,,0.5,,,,,,0.33,,,,,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,104.64,104.64,147.98,72.33,106.73,141.13,175.53,209.93,132.3,104.08,75.86,106.5,1481.65
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,,,,,2.0,4.78,5.0,,1.0,14.0,,,
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,,2.0,1.25,,4.72,,1.46,3.4,,,,,
45 Degree Brewhouse,brewpub,10421 E Sprague Ave,Spokane Valley,99206,Spokane,47.65741858,-117.2644514,2022,0,0,https://untappd.com/w/45-degree-brewhouse/530239,0.0,0.0,0.0,0.0,0.0,1.77,3.54,5.32,7.09,15.1,23.12,31.13,87.07
5 North Brewing Company,taproom,6501 N Cedar Rd,Spokane,99208,Spokane,47.71758683,-117.4328496,2020,0,1,https://untappd.com/w/5-north-brewing-company/459754,26.14,28.48,25.83,28.27,24.65,22.47,25.81,23.14,18.49,13.17,16.04,14.83,267.32
5 Rights Brewing Company,brewpub,1514 3rd Street,Marysville,98270,Snohomish,48.05083967,-122.1766716,2015,0,0,https://untappd.com/5RightsBrewing,26.52,39.28,52.03,34.08,34.77,57.89,81.0,38.5,35.66,32.83,34.33,67.9,534.79
54°40' Brewing Company,brewpub,3801 S Truman Rd #1,Washougal,98671,Clark,45.56483205,-122.3270743,2015,0,0,https://untappd.com/5440BrewingCompany,329.07,329.07,132.42,187.44,242.45,171.2,160.46,225.37,290.28,355.19,-0.5,-1.82,2420.63
5th Line Brewing Company,micro,1015 E Lincoln Ave Ste 106,Yakima,98901,Yakima,46.60902802,-120.4939929,2021,1,0,https://untappd.com/5thlinebrewingco,4.7,4.78,7.79,6.78,5.78,14.38,10.18,5.96,7.05,9.21,7.12,7.13,90.86
7 Seas Brewing Company,taproom,2101 Jefferson Ave,Tacoma,98402,Pierce,47.242638,-122.439135,2009,1,0,https://untappd.com/7seasbrewing,315.96,336.01,305.77,481.85,442.82,544.22,609.43,563.28,416.25,417.86,276.61,432.0,5142.0599999999995
