brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,month,production
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,January,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,February,0.5
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,March,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,April,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,May,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,June,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,July,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,August,0.33
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,September,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,October,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,November,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,December,
192 Brewing Company,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,0,https://untappd.com/192BrewingCo,total_annual,0.8300000000000001
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,January,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,February,104.64
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,March,147.98
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,April,72.33
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,May,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,June,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,July,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,August,209.93
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,September,132.3
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,October,
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,November,75.86
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,December,106.5
20 Corners Brewing Company,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,0,https://untappd.com/20CornersBrewingCompany,total_annual,849.54
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,January,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,February,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,March,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,April,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,May,2.0
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,June,4.78
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,July,5.0
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,August,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,September,1.0
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,October,14.0
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,November,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,December,
23rd Ave Brewery,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,https://untappd.com/23rdAveBrewery,total_annual,26.78
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,January,
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,February,2.0
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,March,1.25
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,April,
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,May,4.72
4 Stitch Brewing Company,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,https://untappd.com/4StitchBrewingCompany,June,
