brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
192 Brewing Company,Mount Vernon,taproom,1405 South 2nd Street,Mount Vernon,98273,Skagit,48.41177416,-122.33797040,2010,1,1,1,1,https://untappd.com/192BrewingCo
192 Brewing Company,,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.75667710,-122.24250160,2010,1,1,1,0,https://untappd.com/192BrewingCo
20 Corners Brewing Company,,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.15101490,2016,0,1,1,0,https://untappd.com/20CornersBrewingCompany
210 Brewing Company,,taproom,3438 Stoluckquamish Lane,Arlington,98223,Snohomish,48.21353190,-122.18485410,2015,1,1,0,0,https://untappd.com/210Brewing
23rd Ave Brewery,,micro,2313 S Jackson St,Seattle,98144,King,47.59927000,-122.30180000,2018,0,0,1,0,https://untappd.com/23rdAveBrewery
4 Stitch Brewing Company,,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.22018771,2023,1,0,1,0,https://untappd.com/4StitchBrewingCompany
5 North Brewing Company,,taproom,6501 N Cedar Rd,Spokane,99208,Spokane,47.71758683,-117.43284960,2020,0,0,1,1,https://untappd.com/w/5-north-brewing-company/459754
5 Rights Brewing Company,,brewpub,1514 3rd Street,Marysville,98270,Snohomish,48.05083967,-122.17667160,2015,0,1,1,0,https://untappd.com/5RightsBrewing
54°40' Brewing Company,,brewpub,3801 S Truman Rd #1,Washougal,98671,Clark,45.56483205,-122.32707433,2015,0,1,1,0,https://untappd.com/5440BrewingCompany
5th Line Brewing Company,,micro,1015 E Lincoln Ave Ste 106,Yakima,98901,Yakima,46.60902802,-120.49399290,2021,1,0,1,0,https://untappd.com/5thlinebrewingco
7 Seas Brewing Company,Tacoma,taproom,2101 Jefferson Ave,Tacoma,98402,Pierce,47.24263800,-122.43913500,2009,1,1,1,0,https://untappd.com/7seasbrewing
