brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,leg_district,rating,total_visits,unique_visits,monthly_visits
192 Brewing Company,,1,brewpub,7324 NE 175th Street Ste F,Kenmore,98028,King,47.7566771,-122.2425016,2010,1,1,1,0,https://untappd.com/192BrewingCo,1,3.38,6397.0,3188.0,3.0
192 Brewing Company,Mount Vernon,0,taproom,1405 South 2nd Street,Mount Vernon,98273,Skagit,48.41177416,-122.3379704,2010,1,1,1,1,https://untappd.com/192BrewingCo,10,3.38,6397.0,3188.0,3.0
20 Corners Brewing Company,,1,brewpub,14148 NE 190th St - Suite A,Woodinville,98072,King,47.76506654,-122.1510149,2016,0,1,1,0,https://untappd.com/20CornersBrewingCompany,1,3.73,27624.0,8960.0,26.0
210 Brewing Company,,1,taproom,3438 Stoluckquamish Lane,Arlington,98223,Snohomish,48.2135319,-122.1848541,2015,1,1,0,0,https://untappd.com/210Brewing,39,3.53,2367.0,1034.0,24.0
23rd Ave Brewery,,1,micro,2313 S Jackson St,Seattle,98144,King,47.59927,-122.3018,2018,0,0,1,0,https://untappd.com/23rdAveBrewery,37,3.66,106.0,72.0,4.0
4 Stitch Brewing Company,,1,brewpub,16709 9th Ave SE,Mill Creek,98012,Snohomish,47.84617437,-122.2201877,2017,1,0,1,0,https://untappd.com/4StitchBrewingCompany,44,3.85,766.0,227.0,14.0
45 Degree Brewhouse,,1,brewpub,10421 E Sprague Ave,Spokane Valley,99206,Spokane,47.65741858,-117.2644514,2022,0,0,1,0,https://untappd.com/w/45-degree-brewhouse/530239,4,3.89,281.0,73.0,2.0
5 North Brewing Company,,1,taproom,6501 N Cedar Rd,Spokane,99208,Spokane,47.71758683,-117.4328496,2020,0,0,1,1,https://untappd.com/w/5-north-brewing-company/459754,3,3.63,770.0,256.0,0.0
5 Rights Brewing Company,,1,brewpub,1514 3rd Street,Marysville,98270,Snohomish,48.05083967,-122.1766716,2015,0,1,1,0,https://untappd.com/5RightsBrewing,38,3.98,13126.0,2292.0,49.0
54°40' Brewing Company,,1,brewpub,3801 S Truman Rd #1,Washougal,98671,Clark,45.56483205,-122.3270743,2015,0,1,1,0,https://untappd.com/5440BrewingCompany,17,3.69,36463.0,14681.0,50.0
5th Line Brewing Company,,1,micro,1015 E Lincoln Ave Ste 106,Yakima,98901,Yakima,46.60902802,-120.4939929,2021,1,0,1,0,https://untappd.com/5thlinebrewingco,14,3.65,1612.0,532.0,40.0
7 Seas Brewing Company,Gig Harbour,0,brewpub,2905 Harborview Dr,Gig Harbor,98335,Pierce,47.32760196,-122.5774155,2009,1,1,1,0,https://untappd.com/7seasbrewing,26,3.71,114845.0,32756.0,157.0
